links,Stories,beds,baths,price,Zip Code,Days on Market,Year Built,Lot Area,Property Type
https://www.trulia.com/p/ny/brooklyn/7315-avenue-u-brooklyn-ny-11234--2009863685,,,,499000.0,11234,1,1960.0,2613, Single Family Home
https://www.trulia.com/p/ny/new-york/225-central-park-n-704-new-york-ny-10024--2554901758,,1.0,1.0,835000.0,10024,1,1926.0,nan, Coop
https://www.trulia.com/p/ny/brooklyn/45-troutman-st-2a-brooklyn-ny-11206--2361432972,,1.0,1.0,674000.0,11206,1,2018.0,nan, Condo
https://www.trulia.com/p/ny/brooklyn/539-46th-st-brooklyn-ny-11220--2009749670,2.0,4.0,3.0,1280000.0,11220,1,1910.0,2011, Multi Family
https://www.trulia.com/p/ny/staten-island/212-greeley-ave-staten-island-ny-10306--2008775263,2.0,4.0,3.0,868000.0,10306,1,1950.0,6000, Residential
https://www.trulia.com/p/ny/brooklyn/61-n-henry-st-2a-brooklyn-ny-11222--2617899808,,2.0,1.0,1599000.0,11222,1,2022.0,nan, Condo
https://www.trulia.com/p/ny/astoria/30-63-31st-st-401-astoria-ny-11102--2591413668,1.0,1.0,1.0,500000.0,11102,1,,nan, Residential
https://www.trulia.com/p/ny/jamaica/25933-149th-ave-jamaica-ny-11422--2010208757,,6.0,3.0,679000.0,11422,1,1950.0,4000, Residential Income
https://www.trulia.com/p/ny/laurelton/14358-226th-st-laurelton-ny-11413--2010144389,,3.0,2.0,649999.0,11413,1,1950.0,4000, Residential
https://www.trulia.com/p/ny/whitestone/199-25-19th-ave-2-158-whitestone-ny-11357--2617918353,1.0,2.0,1.0,250000.0,11357,1,1950.0,nan, Residential
https://www.trulia.com/p/ny/bayside/212-83-16th-ave-187-bayside-ny-11360--2617917366,2.0,2.0,1.0,449000.0,11360,1,1950.0,nan, Residential
https://www.trulia.com/p/ny/fresh-meadows/165-16-72nd-ave-fresh-meadows-ny-11365--2398650340,2.0,3.0,2.0,799000.0,11365,1,1940.0,1800, Residential
https://www.trulia.com/p/ny/whitestone/154-25-cryders-ln-whitestone-ny-11357--2346772223,,3.0,1.0,1038000.0,11357,1,1920.0,5870, Residential
https://www.trulia.com/p/ny/bronx/2-fordham-hill-oval-6h-bronx-ny-10468--2478270607,,1.0,1.0,168000.0,10468,1,1950.0,nan, Residential
https://www.trulia.com/p/ny/far-rockaway/604-jarvis-ave-far-rockaway-ny-11691--2010482753,,3.0,4.0,929000.0,11691,1,1965.0,2890, Residential
https://www.trulia.com/p/ny/bronx/3216-bronx-blvd-bronx-ny-10467--2008948141,,3.0,3.0,580000.0,10467,1,1920.0,2500, Residential
https://www.trulia.com/p/ny/flushing/199-puritan-ave-flushing-ny-11375--2159022034,2.5,4.0,4.0,2088000.0,11375,1,1930.0,1683, Single Family Home
https://www.trulia.com/p/ny/laurelton/13050-229th-st-laurelton-ny-11413--2010140647,2.0,3.0,4.0,729000.0,11413,1,1930.0,2100, Residential
https://www.trulia.com/p/ny/brooklyn/1280-e-88th-st-brooklyn-ny-11236--2089033436,,3.0,3.0,650000.0,11236,1,1925.0,2666, Residential
https://www.trulia.com/p/ny/bronx/3708-paulding-ave-bronx-ny-10469--2008963990,,4.0,2.0,639000.0,10469,1,1945.0,nan, Residential
https://www.trulia.com/p/ny/bronx/1807-lacombe-ave-bronx-ny-10473--2008974771,2.0,4.0,2.0,550000.0,10473,1,1920.0,2500, Residential
https://www.trulia.com/p/ny/flushing/142-28-37th-ave-2a-flushing-ny-11354--2009914339,1.0,,1.0,420000.0,11354,1,2011.0,nan, Residential
https://www.trulia.com/p/ny/flushing/138-12-northern-blvd-3b-flushing-ny-11354--2499202161,1.0,,1.0,460000.0,11354,1,2020.0,nan, Residential
https://www.trulia.com/p/ny/jamaica/14580-220th-st-jamaica-ny-11413--2010145223,2.0,3.0,2.0,599990.0,11413,1,1920.0,2610, Residential
https://www.trulia.com/p/ny/flushing/138-12-northern-blvd-4c-flushing-ny-11354--2532227643,1.0,1.0,1.0,660000.0,11354,1,2020.0,nan, Residential
https://www.trulia.com/p/ny/brooklyn/149-lefferts-ave-brooklyn-ny-11225--2009786710,2.0,6.0,2.0,1299000.0,11225,1,1901.0,2000, Residential Income
https://www.trulia.com/p/ny/flushing/138-29-jewel-ave-1a-flushing-ny-11367--2578054098,1.0,1.0,1.0,279000.0,11367,1,1964.0,nan, Residential
https://www.trulia.com/p/ny/bronx/3111-arnow-pl-bronx-ny-10461--2008904751,,5.0,2.0,1150000.0,10461,1,1950.0,2226, Residential Income
https://www.trulia.com/p/ny/flushing/62-20-138th-st-flushing-ny-11367--2010014238,,4.0,2.0,1200000.0,11367,1,1950.0,4000, Residential
https://www.trulia.com/p/ny/bronx/2545-fish-ave-bronx-ny-10469--2008958259,2.0,3.0,2.0,625000.0,10469,1,1960.0,2500, Residential
https://www.trulia.com/p/ny/flushing/67-35-152nd-st-204a-flushing-ny-11367--2617899791,1.0,1.0,1.0,289000.0,11367,1,1955.0,nan, Residential
https://www.trulia.com/p/ny/jamaica/17238-127th-ave-jamaica-ny-11434--2010261574,,3.0,2.0,585000.0,11434,1,1920.0,2400, Residential
https://www.trulia.com/p/ny/far-rockaway/14-10-mcbride-st-far-rockaway-ny-11691--2010477748,,3.0,1.0,479999.0,11691,1,1930.0,nan, Single Family Home
https://www.trulia.com/p/ny/saint-albans/189-02-114th-rd-saint-albans-ny-11412--2566086100,3.0,6.0,2.0,950000.0,11412,1,1950.0,2200, Residential Income
